,V1,V2,V3,V4
result.78,0.259638898007626,0.319145,0.36158,0.361598
result.79,0.263751925456428,0.323204,0.367112,0.36713
result.80,0.26789727532133,0.327479,0.3721,0.372122
result.81,0.272074947602333,0.330985,0.376647,0.376683
result.82,0.276284942299437,0.334157,0.380752,0.380783
result.83,0.280527259412641,0.33742,0.385354,0.385389
result.84,0.284801898941946,0.34198,0.390775,0.390808
result.85,0.289108860887351,0.347253,0.397508,0.397557
result.86,0.293448145248857,0.349509,0.400541,0.400607
result.87,0.297819752026464,0.353138,0.405539,0.405601
result.88,0.302223681220171,0.352748,0.406514,0.406595
result.89,0.306659932829979,0.361732,0.416381,0.416484
result.90,0.311128506855887,0.365415,0.421339,0.421452
result.91,0.315629403297897,0.365012,0.422187,0.422309
result.92,0.320162622156006,0.371931,0.43045,0.430611
result.93,0.324728163430216,0.375663,0.43578,0.43595
result.94,0.329326027120527,0.3775,0.43865,0.438863
result.95,0.333956213226939,0.382423,0.44503,0.445262
result.96,0.338618721749451,0.38752,0.451178,0.451433
result.97,0.343313552688063,0.390178,0.454808,0.455143
result.98,0.348040706042777,0.39479,0.46126,0.46162
result.99,0.352800181813591,0.398573,0.466517,0.466924
result.100,0.357591980000505,0.400701,0.469972,0.470442
result.101,0.36241610060352,0.405218,0.475653,0.476181
result.102,0.367272543622636,0.408875,0.480934,0.481528
result.103,0.372161309057852,0.411637,0.485072,0.485729
result.104,0.377082396909169,0.414944,0.490135,0.490839
result.105,0.382035807176586,0.418283,0.494525,0.495315
result.106,0.387021539860104,0.42195,0.500328,0.501223
result.107,0.392039594959723,0.42632,0.505633,0.506587
result.108,0.397089972475443,0.430018,0.51105,0.51211
result.109,0.402172672407263,0.434056,0.51694,0.518226
result.110,0.407287694755183,0.436191,0.520236,0.521666
result.111,0.412435039519204,0.439754,0.525185,0.526683
result.112,0.417614706699326,0.44375,0.530913,0.532716
result.113,0.422826696295548,0.447452,0.53636,0.538165
result.114,0.428071008307871,0.449521,0.540403,0.542474
result.115,0.433347642736295,0.45182,0.543792,0.545995
result.116,0.438656599580819,0.456606,0.550362,0.552877
result.117,0.443997878841443,0.460139,0.55523,0.558038
result.118,0.449371480518169,0.461439,0.558781,0.561757
result.119,0.454777404610995,0.466112,0.564559,0.567868
result.120,0.460215651119921,0.469667,0.568755,0.572284
result.121,0.465686220044948,0.471378,0.573507,0.577521
result.122,0.471189111386076,0.47628,0.5798,0.584034
result.123,0.476724325143304,0.479409,0.585123,0.589731
result.124,0.482291861316633,0.481002,0.588115,0.593162
result.125,0.487891719906063,0.485429,0.593708,0.599148
result.126,0.493523900911593,0.487999,0.598326,0.604096
result.127,0.499188404333224,0.489734,0.601392,0.607719
result.128,0.504885230170955,0.493077,0.60711,0.614151
result.129,0.510614378424787,0.496357,0.611517,0.618785
result.130,0.51637584909472,0.499724,0.616195,0.624032
result.131,0.522169642180753,0.501494,0.619768,0.628197
result.132,0.527995757682887,0.505863,0.625688,0.634962
result.133,0.533854195601121,0.509457,0.630989,0.640757
result.134,0.539744955935456,0.510654,0.633673,0.643978
result.135,0.545668038685892,0.512896,0.637909,0.649221
result.136,0.551623443852428,0.515246,0.642266,0.654196
result.137,0.557611171435065,0.517132,0.645206,0.657915
result.138,0.563631221433802,0.520193,0.650636,0.664094
result.139,0.56968359384864,0.524328,0.654997,0.669457
result.140,0.575768288679579,0.526292,0.659206,0.674441
result.141,0.581885305926618,0.527239,0.662002,0.678415
result.142,0.588034645589758,0.529875,0.665918,0.683086
result.143,0.594216307668998,0.530945,0.668935,0.687169
result.144,0.600430292164339,0.534562,0.674034,0.693628
result.145,0.606676599075781,0.536394,0.677242,0.697731
result.146,0.612955228403323,0.539016,0.681548,0.702987
result.147,0.619266180146966,0.540001,0.684191,0.707117
result.148,0.62560945430671,0.543572,0.689128,0.713238
result.149,0.631985050882554,0.54515,0.692087,0.717361
result.150,0.638392969874498,0.545829,0.694048,0.720781
result.151,0.644833211282543,0.550457,0.699885,0.727694
result.152,0.651305775106689,0.551449,0.703148,0.732356
result.153,0.657810661346936,0.551183,0.704069,0.734576
result.154,0.664347870003283,0.55437,0.707718,0.73965
result.155,0.67091740107573,0.55693,0.7125,0.746117
result.156,0.677519254564279,0.559017,0.71515,0.750381
result.157,0.684153430468928,0.560483,0.717889,0.754472
result.158,0.690819928789677,0.562225,0.721257,0.75951
result.159,0.697518749526527,0.56448,0.724492,0.764143
result.160,0.704249892679478,0.565887,0.727477,0.768545
result.161,0.711013358248529,0.566157,0.728836,0.771703
result.162,0.717809146233681,0.568145,0.732513,0.776511
result.163,0.724637256634934,0.568599,0.733936,0.779889
result.164,0.731497689452287,0.569606,0.736198,0.784232
result.165,0.73839044468574,0.571903,0.739394,0.788718
result.166,0.745315522335295,0.574405,0.742692,0.793475
result.167,0.75227292240095,0.575347,0.74425,0.796286
result.168,0.759262644882705,0.572164,0.74354,0.797435
result.169,0.766284689780561,0.575004,0.746786,0.802451
result.170,0.773339057094518,0.579852,0.751681,0.808764
result.171,0.780425746824575,0.579192,0.751818,0.811123
result.172,0.787544758970733,0.57936,0.753279,0.813999
result.173,0.794696093532992,0.581256,0.756463,0.818551
result.174,0.801879750511351,0.58107,0.756683,0.820078
result.175,0.809095729905811,0.584895,0.761375,0.826334
result.176,0.816344031716371,0.582988,0.760292,0.826903
result.177,0.823624655943032,0.585812,0.76308,0.830807
result.178,0.830937602585793,0.587708,0.765858,0.834831
result.179,0.838282871644655,0.5866,0.76627,0.837153
result.180,0.845660463119618,0.587743,0.767245,0.839288
result.181,0.853070377010682,0.587877,0.768901,0.841749
result.182,0.860512613317846,0.587591,0.769244,0.843305
result.183,0.86798717204111,0.589904,0.771344,0.846792
result.184,0.875494053180475,0.58884,0.770787,0.847205
result.185,0.883033256735941,0.590904,0.773224,0.850134
result.186,0.890604782707508,0.592144,0.774636,0.853057
result.187,0.898208631095175,0.59233,0.775231,0.854319
result.188,0.905844801898942,0.592921,0.776539,0.856792
result.189,0.91351329511881,0.592759,0.77694,0.857506
result.190,0.921214110754779,0.593225,0.777711,0.858912
result.191,0.928947248806848,0.592216,0.777161,0.859118
result.192,0.936712709275018,0.592585,0.777844,0.860835
result.193,0.944510492159289,0.594778,0.778751,0.862082
result.194,0.95234059745966,0.594162,0.779054,0.862817
result.195,0.960203025176132,0.593553,0.779219,0.86316
result.196,0.968097775308704,0.593222,0.779301,0.863624
result.197,0.976024847857377,0.593542,0.779705,0.864025
result.198,0.983984242822151,0.593664,0.778986,0.86373
result.199,0.991975960203025,0.593007,0.779482,0.864513
result.200,1,0.594681,0.78012,0.864719
result.201,1,0.595639,0.781041,0.865718
result.202,1.01513219363147,0.595392,0.780826,0.865064
result.203,1.03037802075705,0.593636,0.779886,0.864183
result.204,1.04573748137673,0.593117,0.77817,0.861708
result.205,1.06121057549052,0.594618,0.778866,0.861327
result.206,1.07679730309841,0.592235,0.777046,0.858592
result.207,1.0924976642004,0.593004,0.776486,0.856895
result.208,1.1083116587965,0.592699,0.77471,0.854282
result.209,1.12423928688669,0.591177,0.774338,0.851597
result.210,1.140280548471,0.590928,0.772921,0.848695
result.211,1.15643544354941,0.588508,0.769998,0.844894
result.212,1.17270397212192,0.589285,0.769557,0.841187
result.213,1.18908613418853,0.587218,0.7664,0.83683
result.214,1.20558192974925,0.584425,0.763508,0.832554
result.215,1.22219135880407,0.582848,0.76047,0.827809
result.216,1.238914421353,0.58154,0.75803,0.8227
result.217,1.25575111739603,0.581943,0.756717,0.818022
result.218,1.27270144693316,0.580622,0.754333,0.813155
result.219,1.28976540996439,0.577212,0.750138,0.807568
result.220,1.30694300648974,0.577047,0.747821,0.80254
result.221,1.32423423650918,0.574686,0.745141,0.797556
result.222,1.34163910002273,0.572461,0.740906,0.791639
result.223,1.35915759703038,0.571309,0.737495,0.78489
result.224,1.37678972753213,0.56874,0.733522,0.77958
result.225,1.39453549152799,0.568428,0.731413,0.774497
result.226,1.41239488901795,0.564157,0.72702,0.768611
result.227,1.43036792000202,0.56326,0.723727,0.763411
result.228,1.44845458448019,0.558799,0.718942,0.756353
result.229,1.46665488245246,0.560684,0.716948,0.75164
result.230,1.48496881391884,0.558117,0.712868,0.745789
result.231,1.50339637887932,0.555202,0.708553,0.739901
result.232,1.52193757733391,0.553471,0.705124,0.73437
result.233,1.54059240928259,0.549985,0.700345,0.728346
result.234,1.55936087472539,0.546515,0.695563,0.722176
result.235,1.57824297366228,0.545565,0.691943,0.716812
result.236,1.59723870609328,0.543286,0.688302,0.711438
result.237,1.61634807201838,0.539735,0.683916,0.705991
result.238,1.63557107143759,0.538344,0.67964,0.700196
result.239,1.6549077043509,0.536087,0.675825,0.695118
result.240,1.67435797075831,0.533524,0.671502,0.689632
result.241,1.69392187065983,0.530351,0.666142,0.682975
result.242,1.71359940405545,0.528418,0.663191,0.679166
result.243,1.73339057094518,0.525385,0.657985,0.672593
result.244,1.75329537132901,0.521776,0.653615,0.667945
result.245,1.77331380520694,0.519726,0.64903,0.66215
result.246,1.79344587257898,0.51698,0.645054,0.657415
result.247,1.81369157344512,0.514977,0.640611,0.652011
result.248,1.83405090780536,0.511464,0.636551,0.647469
result.249,1.85452387565971,0.509033,0.632577,0.642603
result.250,1.87511047700816,0.507689,0.628079,0.637298
result.251,1.89581071185071,0.504698,0.623761,0.632313
result.252,1.91662458018737,0.501445,0.618987,0.627065
result.253,1.93755208201813,0.498621,0.614227,0.621828
result.254,1.958593217343,0.495575,0.609864,0.617082
result.255,1.97974798616197,0.493626,0.606924,0.613348
result.256,2.00101638847504,0.491125,0.602209,0.608212
result.257,2.02239842428222,0.487204,0.597491,0.603271
result.258,2.0438940935835,0.485851,0.593978,0.599261
result.259,2.06550339637888,0.482552,0.588696,0.593588
result.260,2.08722633266837,0.480023,0.585317,0.589907
result.261,2.10906290245196,0.47762,0.581204,0.585394
result.262,2.13101310572965,0.473967,0.576323,0.580199
result.263,2.15307694250145,0.471369,0.572195,0.575915
result.264,2.17525441276735,0.469667,0.568488,0.571852
result.265,2.19754551652736,0.46543,0.563612,0.566765
result.266,2.21995025378147,0.462783,0.560071,0.56301
result.267,2.24246862452968,0.459979,0.555685,0.558419
result.268,2.265100628772,0.457816,0.551513,0.553992
result.269,2.28784626650842,0.455234,0.547767,0.55013
result.270,2.31070553773895,0.452299,0.544313,0.546448
result.271,2.33367844246357,0.450357,0.540236,0.542133
result.272,2.35676498068231,0.448381,0.537362,0.539184
result.273,2.37996515239514,0.444492,0.532532,0.534204
result.274,2.40327895760208,0.441611,0.527749,0.529316
result.275,2.42670639630312,0.439644,0.524575,0.52595
result.276,2.45024746849827,0.436502,0.520556,0.521852
result.277,2.47390217418752,0.434077,0.517258,0.518504
result.278,2.49767051337087,0.431276,0.51292,0.513985
result.279,2.52155248604833,0.429382,0.50962,0.510613
result.280,2.54554809221989,0.426343,0.505859,0.506832
result.281,2.56965733188556,0.424244,0.502563,0.503489
result.282,2.59388020504533,0.420904,0.498293,0.499078
result.283,2.6182167116992,0.419418,0.495367,0.496171
result.284,2.64266685184718,0.415546,0.491224,0.491972
result.285,2.66723062548926,0.413751,0.487693,0.488337
result.286,2.69190803262544,0.410847,0.483786,0.484378
result.287,2.71669907325573,0.409266,0.481246,0.481802
result.288,2.74160374738012,0.407056,0.47836,0.478852
result.289,2.76662205499861,0.403957,0.474043,0.474497
result.290,2.79175399611121,0.400765,0.470449,0.470861
result.291,2.81699957071791,0.399248,0.467468,0.467842
result.292,2.84235877881872,0.396273,0.463504,0.463857
result.293,2.86783162041363,0.395017,0.46141,0.461779
result.294,2.89341809550264,0.392075,0.457886,0.45818
result.295,2.91911820408576,0.389263,0.454405,0.454658
result.296,2.94493194616298,0.386304,0.450587,0.450878
